805,0.437741,752,0.0194855,768,0.0106795,416,0.00994079,602,0.00644931
475,0.134108,656,0.0627692,654,0.0510738,627,0.0287829,916,0.00893661
970,0.0315166,908,0.029828,475,0.0197212,685,0.0177873,479,0.0151515
761,0.337803,605,0.151147,551,0.0465113,549,0.0384085,916,0.0237745
795,0.0673395,880,0.0639292,652,0.0263322,875,0.0187377,978,0.0185491
617,0.142624,652,0.0757537,906,0.0362664,424,0.0240507,834,0.0152557
862,0.0608408,456,0.0378179,775,0.0339054,430,0.0192139,549,0.0191082
805,0.189832,574,0.0665426,522,0.0320302,898,0.0124644,728,0.0115888
895,0.123659,701,0.0916371,908,0.0387015,984,0.0372458,404,0.0159495
617,0.116911,697,0.034609,111,0.0338997,678,0.0159914,669,0.0140697
678,0.0378013,399,0.0336894,610,0.0215591,877,0.0199831,843,0.0195172
970,0.102343,980,0.081976,972,0.0669451,984,0.0274466,974,0.0228249
880,0.0664686,549,0.0548818,635,0.0500462,694,0.0300055,865,0.014761
549,0.0667847,701,0.0407802,978,0.0317102,974,0.0283152,803,0.0250816
819,0.205235,818,0.0415834,971,0.0407324,880,0.0327372,562,0.010721
582,0.0715571,860,0.0660338,865,0.0635818,916,0.0332403,791,0.0283234
883,0.0636733,723,0.0597583,945,0.0486686,107,0.0359498,986,0.0325126
775,0.0380968,903,0.0337799,578,0.0278771,568,0.0258439,549,0.022472
610,0.148711,921,0.0241221,819,0.0177715,617,0.0146938,678,0.00947568
404,0.150334,977,0.0964217,718,0.0318864,751,0.030375,984,0.0261566
503,0.0520561,968,0.0271535,568,0.0245703,899,0.0178567,438,0.0171596
817,0.306533,751,0.194243,705,0.0869037,724,0.00944847,438,0.00693296
647,0.0919235,332,0.0315854,971,0.0190095,954,0.0154873,700,0.0144115
421,0.0505284,762,0.0460491,549,0.0323924,905,0.0228781,799,0.0226857
984,0.0277754,629,0.0185419,785,0.0173584,824,0.0150204,470,0.0131264
752,0.128343,880,0.107962,842,0.0269673,549,0.0158412,794,0.0143261
794,0.47747,669,0.0337843,697,0.00721779,896,0.00329943,585,0.00323399
478,0.0329088,804,0.0311871,712,0.0304377,313,0.0295062,916,0.0287026
617,0.045194,892,0.0408123,604,0.0343262,769,0.0234103,844,0.0213401
916,0.0753322,780,0.0528699,549,0.0329036,557,0.0209162,971,0.0192728
404,0.122642,458,0.0810517,895,0.0529409,916,0.0316799,793,0.0314001
711,0.0778391,470,0.0694071,859,0.0475286,719,0.0464221,606,0.0253131
971,0.0771865,974,0.0498075,646,0.0283588,751,0.0239092,404,0.0167007
794,0.675223,916,0.010979,549,0.0108189,885,0.00905207,722,0.00411942
647,0.0918476,712,0.0403071,828,0.0402085,659,0.0368996,892,0.0325781
621,0.0532125,438,0.0356944,984,0.0216355,441,0.0214085,692,0.0194144
642,0.116051,822,0.0180749,424,0.0156843,716,0.0151669,762,0.0125474
574,0.0422037,433,0.0409027,906,0.0299427,912,0.0282074,419,0.0140762
549,0.391404,692,0.0251689,916,0.00979954,885,0.00667866,633,0.00554875
845,0.0258248,691,0.0209927,438,0.01754,966,0.0145255,111,0.011609
617,0.0476734,971,0.0304482,670,0.0281265,865,0.0251929,549,0.0246915
617,0.239662,969,0.0915162,647,0.0421859,438,0.0408356,923,0.0280519
6,0.20283,977,0.184875,2,0.0286724,4,0.0268093,978,0.0223952
794,0.0327761,617,0.0253367,837,0.0189863,691,0.0165246,697,0.0152735
819,0.294942,862,0.0270864,107,0.0266245,818,0.010883,530,0.00839061
903,0.077334,981,0.0757667,514,0.0540784,501,0.0289926,655,0.0230203
617,0.135711,580,0.0254695,727,0.0236264,664,0.0208883,421,0.0194548
562,0.150072,971,0.0303426,815,0.0246312,580,0.018292,876,0.017938
819,0.428247,971,0.0777526,669,0.0583865,793,0.00513465,728,0.00324618
583,0.0159376,644,0.0148085,862,0.0111596,421,0.0104543,604,0.0104136
739,0.0663925,420,0.0535395,532,0.0153347,711,0.00572041,438,0.00561414
617,0.0964837,419,0.0521335,921,0.0169239,929,0.0154187,903,0.0149693
